ID, 达人名, 视频标题, 是否热门, 播放数, 点赞数, 评论数, 分享数
6622921634242101256,小宇哥Yumiko,你们国庆参加了几场婚礼？？我整整四场！！！T T#沉浸式,false,1094944,9396,263,11
6622921634242101256,小宇哥Yumiko,判断一段感情好不好其实特简单，你只要想想每天是不是开心，看看自己有没有越变越好就够啦！,false,1005724,15525,1179,351
6622921634242101256,小宇哥Yumiko,在一起之前我以为他是个什么玩意儿，在一起之后发现我是个什么玩意儿T T,false,1981944,36515,3582,320
6622921634242101256,小宇哥Yumiko,我已经读懂自己的内心了，真心建议各位男生，觉得女生作的时候，先想想有没有给她足够的安全感！#日常 #恋爱,true,2262509,43983,6859,805
6622921634242101256,小宇哥Yumiko,,false,1252628,47628,2470,136
6622921634242101256,小宇哥Yumiko,为啥你的女朋友总是莫名其妙生气？归根到底只有一个原因！觉得你没有放在心上罢了#七夕 #恋爱 #日常,false,1353044,27671,1099,119
6622921634242101256,小宇哥Yumiko,这哪是男朋友，这分明是小朋友嘛#日常 #恋爱,true,4403249,135687,16122,1097
6622921634242101256,小宇哥Yumiko,如果你男朋友嫌弃你出门墨迹，一定要把这条视频给他看！我们不是墨迹，我们是精！致！#化妆 #护肤 #沉浸式化妆,true,4227595,64950,4888,447
6622921634242101256,小宇哥Yumiko,扩大交际圈的小招？拿来吧你！希望甜甜的恋爱能早日轮到我的姐妹！#恋爱 #交际圈 #美妆,true,4442526,88532,16266,3413
6629723231743901704,闵小静,来晚了！618#购物分享——凑单篇,false,1510933,52014,94,107
6629723231743901704,闵小静,生日礼物#开箱，请问我的朋友们，你们是在比大小吗？！,true,2286577,103020,670,270
6708235837034725390,好平静的姐姐,精美吗 PK吗#国潮妆提前为祖国庆生 #国庆 #美妆博主的反击,true,8335615,485899,4278,368
6708235837034725390,好平静的姐姐,Where are you come from#盘发 ,true,6974897,462213,9036,1399
6708235837034725390,好平静的姐姐,,false,1146379,55480,764,22
6708235837034725390,好平静的姐姐,我可以当你的玫瑰吗#360度转头变装 ,false,2399199,100392,2137,162
6708235837034725390,好平静的姐姐,和 @关妮赫事 一起 #合拍,true,9706185,550156,83098,3780
6708235837034725390,好平静的姐姐,上一条不行，重发了#李太白变装 #李太白 ,false,1360628,53581,674,74
6870171582799544327,是亮亮,大头亮今天有进步吗#康复运动,true,2449669,79626,2503,324
6596678048475512846,Rika_花花,家人们，新娘神器又来了！看来这个系列不能停啊！#新娘 #结婚 #dou来耍大牌 ,false,5347549,190432,6930,4483
6596678048475512846,Rika_花花,千万不要带老公去试秀禾，不然就会…#dou来耍大牌 #vlog ,false,1180973,70790,1553,72
6596678048475512846,Rika_花花,我，手把手教你做伪素颜达人#素颜 #原相机 ,false,1154044,41715,672,195
6596678048475512846,Rika_花花,给姐妹准备了这么久的婚礼惊喜，就是为了结尾的那一下！#婚礼 #vlog 
,false,1197066,47289,2751,57
6596678048475512846,Rika_花花,做新娘的当天让你们立马变瘦变美的神器！女生们都收藏好了～##婚礼 #变美 ,true,9319653,381618,23570,9908
6596678048475512846,Rika_花花,我开始婚礼倒计时了！这礼拜先参加5个婚礼…#沉浸式护肤 #婚礼 #情侣 ,false,5826212,76596,2237,305
6596678048475512846,Rika_花花,又小又实用的旅行好物，我就是要把家折叠带出门！#国庆 #旅行 ,false,1219102,57545,863,472
6596678048475512846,Rika_花花,超厉害洗头法！4步顺滑、有光泽、还不掉发！#护发 #洗头 ,false,1226818,42311,1101,1283
6596678048475512846,Rika_花花,和老公全家亲戚一起吃饭，真的蚌埠住了…#情侣 #vlog日常 ,false,1789401,38356,909,87
